Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
MicroBenchmarks.Serializers.Json_FromStream<Location>.DataContractJsonSerializer_,1.00,1.00,1.01,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,0.99,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,0.99,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "alice29.txt"),1.00,1.00,1.02,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.00,1.03,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "sum"),1.00,1.00,1.02,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "sum"),1.00,1.00,0.97,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,1.02,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.94,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "alice29.txt"),1.00,1.00,0.99,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.00,0.99,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "sum"),1.00,1.00,0.99,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "sum"),1.00,1.00,0.99,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.BinaryFormatter_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.ProtoBuffNet,1.00,1.00,1.04,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.MessagePack_,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToString,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToUtf8Bytes,1.00,1.00,0.97,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToStream,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeObjectProperty,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Jil_,1.00,1.00,0.96,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.JsonNet_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,0.98,
System.IO.Pipes.Tests.Perf_NamedPipeStream_ServerIn_ClientOut.ReadWrite(size: 1000000),1.00,1.00,1.00,
Benchstone.BenchI.XposMatrix.Test,1.00,1.00,1.03,
System.Memory.Constructors<String>.SpanFromArray,1.00,1.00,0.93,
System.Memory.Constructors<String>.ReadOnlySpanFromArray,1.00,1.00,1.02,
System.Memory.Constructors<String>.SpanFromArrayStartLength,1.00,1.00,1.02,
System.Memory.Constructors<String>.ReadOnlySpanFromArrayStartLength,1.00,1.00,1.00,
System.Memory.Constructors<String>.SpanFromMemory,1.00,1.00,1.01,
System.Memory.Constructors<String>.ReadOnlySpanFromMemory,1.00,1.00,1.01,
System.Memory.Constructors<String>.SpanImplicitCastFromArray,1.00,1.00,1.01,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromArray,1.00,1.00,1.01,
System.Memory.Constructors<String>.SpanImplicitCastFromArraySegment,1.00,1.00,1.00,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromArraySegment,1.00,1.00,0.98,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromSpan,1.00,1.00,1.00,
System.Memory.Constructors<String>.MemoryFromArray,1.00,1.00,1.00,
System.Memory.Constructors<String>.ReadOnlyMemoryFromArray,1.00,1.00,0.97,
System.Memory.Constructors<String>.MemoryFromArrayStartLength,1.00,1.00,0.97,
System.Memory.Constructors<String>.ReadOnlyMemoryFromArrayStartLength,1.00,1.00,1.01,
System.Memory.Constructors<String>.ArrayAsSpan,1.00,1.00,0.96,
System.Memory.Constructors<String>.ArrayAsSpanStartLength,1.00,1.00,0.96,
System.Memory.Constructors<String>.ArrayAsMemory,1.00,1.00,0.90,
System.Memory.Constructors<String>.ArrayAsMemoryStartLength,1.00,1.00,1.05,
System.Memory.Constructors<String>.MemoryMarshalCreateSpan,1.00,1.00,1.04,
System.Memory.Constructors<String>.MemoryMarshalCreateReadOnlySpan,1.00,1.00,0.97,
System.Memory.Constructors_ValueTypesOnly<Int32>.SpanFromPointerLength,1.00,1.00,1.03,
System.Memory.Constructors_ValueTypesOnly<Int32>.ReadOnlyFromPointerLength,1.00,1.00,0.97,
Benchstone.BenchI.MulMatrix.Test,1.00,1.00,0.98,
Benchstone.BenchF.Romber.Test,1.00,1.00,0.98,
System.Drawing.Tests.Perf_Color.FromArgb_Channels,SMALL,SMALL,SMALL,
System.Drawing.Tests.Perf_Color.FromArgb_AlphaColor,1.00,1.00,1.00,
System.Drawing.Tests.Perf_Color.GetBrightness,1.00,1.00,1.01,
System.Drawing.Tests.Perf_Color.GetHue,1.00,1.00,0.98,
System.Drawing.Tests.Perf_Color.GetSaturation,1.00,1.00,0.97,
System.Tests.Perf_Decimal.Add,1.00,1.00,1.03,
System.Tests.Perf_Decimal.Subtract,1.00,1.00,0.99,
System.Tests.Perf_Decimal.Multiply,1.00,1.00,1.01,
System.Tests.Perf_Decimal.Divide,1.00,1.00,1.01,
System.Tests.Perf_Decimal.Mod,1.00,1.00,0.95,
System.Tests.Perf_Decimal.Floor,1.00,1.00,1.02,
System.Tests.Perf_Decimal.Round,1.00,1.00,0.95,
System.Tests.Perf_Decimal.ToString(value: 123456.789),1.00,1.00,0.95,
System.Tests.Perf_Decimal.Parse(value: "123456.789"),1.00,1.00,0.98,
System.Tests.Perf_Decimal.TryParse(value: "123456.789"),1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: False; SkipValidation: False),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: False; SkipValidation: True),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: True; SkipValidation: False),1.00,1.00,0.95,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: True; SkipValidation: True),1.00,1.00,1.04,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: False; SkipValidation: False),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: False; SkipValidation: True),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: True; SkipValidation: False),1.00,1.00,1.02,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: True; SkipValidation: True),1.00,1.00,1.00,
Benchstone.BenchI.EightQueens.Test,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.BinaryFormatter_,1.00,1.00,1.05,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.ProtoBuffNet,1.00,1.00,1.05,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.MessagePack_,1.00,1.00,0.97,
System.Collections.CtorDefaultSize<Int32>.List,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.LinkedList,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.HashSet,1.00,1.00,0.97,
System.Collections.CtorDefaultSize<Int32>.Dictionary,1.00,1.00,1.05,
System.Collections.CtorDefaultSize<Int32>.Queue,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.Stack,1.00,1.00,0.91,
System.Collections.CtorDefaultSize<Int32>.SortedList,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.SortedSet,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.SortedDictionary,1.00,1.00,0.98,
System.Collections.CtorDefaultSize<Int32>.ConcurrentDictionary,1.00,1.00,1.02,
System.Collections.CtorDefaultSize<Int32>.ConcurrentQueue,1.00,1.00,1.07,
System.Collections.CtorDefaultSize<Int32>.ConcurrentStack,1.00,1.00,1.01,
System.Collections.CtorDefaultSize<Int32>.ConcurrentBag,1.00,1.00,1.26,
System.Collections.CtorDefaultSize<Int32>.ImmutableArray,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableHashSet,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableList,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableQueue,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableStack,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableSortedDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableSortedSet,SMALL,SMALL,SMALL,
System.Collections.CtorGivenSize<Int32>.Array(Size: 512),1.00,1.00,1.03,
System.Collections.CtorGivenSize<Int32>.List(Size: 512),1.00,1.00,1.00,
System.Collections.CtorGivenSize<Int32>.HashSet(Size: 512),1.00,1.00,0.98,
System.Collections.CtorGivenSize<Int32>.Dictionary(Size: 512),1.00,1.00,1.01,
System.Collections.CtorGivenSize<Int32>.Queue(Size: 512),1.00,1.00,0.95,
System.Collections.CtorGivenSize<Int32>.Stack(Size: 512),1.00,1.00,0.99,
System.Collections.CtorGivenSize<Int32>.SortedList(Size: 512),1.00,1.00,0.95,
System.Collections.CtorGivenSize<Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,0.98,
Benchstone.BenchF.Whetsto.Test,1.00,1.00,1.04,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: False; SkipValidation: False),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: False; SkipValidation: False),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: False; SkipValidation: True),1.00,1.00,1.03,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: False; SkipValidation: True),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: True; SkipValidation: False),1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: True; SkipValidation: False),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: True; SkipValidation: True),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: True; SkipValidation: True),1.00,1.00,1.00,
System.Numerics.Tests.Perf_Vector3.AddOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.AddFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.MultiplyOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.MultiplyFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SubtractOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SubtractFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DistanceSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.LengthSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.GetHashCodeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SquareRootBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.NormalizeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DotBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DistanceBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.LengthBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.CrossBenchmark,SMALL,SMALL,SMALL,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentBag(Size: 2000000),1.00,1.00,1.06,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentStack(Size: 2000000),1.00,1.00,1.13,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentQueue(Size: 2000000),1.00,1.00,0.89,
System.Tests.Perf_Uri.ParseAbsoluteUri,1.00,1.00,1.06,
System.Tests.Perf_Uri.DnsSafeHost,1.00,1.00,1.00,
System.Xml.Linq.Perf_XElement.CreateElement,1.00,1.00,1.03,
System.Xml.Linq.Perf_XElement.CreateElementWithNamespace,1.00,1.00,1.06,
System.Xml.Linq.Perf_XElement.CreateWithElements,1.00,1.00,1.04,
System.Xml.Linq.Perf_XElement.CreateElementsWithNamespace,1.00,1.00,0.99,
System.Xml.Linq.Perf_XElement.GetElement,1.00,1.00,1.02,
System.Xml.Linq.Perf_XElement.GetElementWithNamespace,1.00,1.00,1.02,
System.Xml.Linq.Perf_XElement.GetAttribute,1.00,1.00,1.00,
System.Xml.Linq.Perf_XElement.GetValue,1.00,1.00,1.00,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentBag(Count: 512),1.00,1.00,1.02,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentQueue(Count: 512),1.00,1.00,1.03,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.ConcurrentStack(Count: 512),1.00,1.00,1.03,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.Queue(Count: 512),1.00,1.00,1.03,
System.Collections.Tests.Add_Remove_SteadyState<Int32>.Stack(Count: 512),SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: -2147483648),1.00,1.00,0.99,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: -2147483648),1.00,1.00,1.06,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: -2147483648),1.00,1.00,1.02,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: -2147483648),1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: -2147483648),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 1024;1024 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 1024;1024 bits),1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 1024;1024 bits),1.00,1.00,0.96,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 1024;1024 bits),1.00,1.00,0.98,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 1024;1024;64 bits),1.00,1.00,0.97,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 1024;512 bits),1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 1024;512 bits),1.00,1.00,0.98,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: 123),1.00,1.00,0.95,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: 123),1.00,1.00,0.99,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: 123),1.00,1.00,0.96,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: 123),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: 123),1.00,1.00,0.99,
System.Numerics.Tests.Perf_BigInteger.Ctor_ByteArray(numberString: 123456789012345678901234567890123...,1.00,1.00,1.02,
System.Numerics.Tests.Perf_BigInteger.ToByteArray(numberString: 123456789012345678901234567890123456...,1.00,1.00,1.02,
System.Numerics.Tests.Perf_BigInteger.Parse(numberString: 123456789012345678901234567890123456789012...,1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.ToStringX(numberString: 12345678901234567890123456789012345678...,1.00,1.00,0.96,
System.Numerics.Tests.Perf_BigInteger.ToStringD(numberString: 12345678901234567890123456789012345678...,1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 16;16 bits),1.00,1.00,0.98,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 16;16 bits),1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 16;16 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 16;16 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 16;16;16 bits),1.00,1.00,1.00,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 16;8 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 16;8 bits),1.00,1.00,1.03,
System.Numerics.Tests.Perf_BigInteger.ModPow(arguments: 16384;16384;64 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.Divide(arguments: 65536;32768 bits),1.00,1.00,1.03,
System.Numerics.Tests.Perf_BigInteger.Remainder(arguments: 65536;32768 bits),1.00,1.00,1.02,
System.Numerics.Tests.Perf_BigInteger.Add(arguments: 65536;65536 bits),1.00,1.00,1.02,
System.Numerics.Tests.Perf_BigInteger.Subtract(arguments: 65536;65536 bits),1.00,1.00,1.01,
System.Numerics.Tests.Perf_BigInteger.Multiply(arguments: 65536;65536 bits),1.00,1.00,0.99,
System.Numerics.Tests.Perf_BigInteger.GreatestCommonDivisor(arguments: 65536;65536 bits),1.00,1.00,0.99,
System.Collections.TryAddGiventSize<String>.Dictionary(Count: 512),1.00,1.00,1.03,
System.Collections.TryAddGiventSize<String>.ConcurrentDictionary(Count: 512),1.00,1.00,1.00,
System.Buffers.Tests.NonStandardArrayPoolTests<Byte>.RentNoReturn(RentalSize: 64; UseSharedPool: Fal...,1.00,1.00,0.98,
System.Buffers.Tests.NonStandardArrayPoolTests<Byte>.RentNoReturn(RentalSize: 64; UseSharedPool: Tru...,1.00,1.00,1.06,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.BinaryFormatter_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.ProtoBuffNet,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.MessagePack_,1.00,1.00,1.09,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,1.00,1.02,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,1.00,0.96,
System.Drawing.Tests.Perf_Graphics_DrawBeziers.DrawBezier_Point,1.00,1.00,0.97,
System.Drawing.Tests.Perf_Graphics_DrawBeziers.DrawBezier_Points,1.00,1.00,1.02,
System.Security.Cryptography.Tests.Perf_Hashing.Sha1,1.00,1.00,1.00,
System.Security.Cryptography.Tests.Perf_Hashing.Sha256,1.00,1.00,0.99,
System.Security.Cryptography.Tests.Perf_Hashing.Sha384,1.00,1.00,0.95,
System.Security.Cryptography.Tests.Perf_Hashing.Sha512,1.00,1.00,1.00,
System.MathBenchmarks.Single.Abs,1.00,1.00,1.00,
System.MathBenchmarks.Single.Acosh,1.00,1.00,1.01,
System.MathBenchmarks.Single.Acos,1.00,1.00,1.02,
System.MathBenchmarks.Single.Asinh,1.00,1.00,0.99,
System.MathBenchmarks.Single.Asin,1.00,1.00,0.97,
System.MathBenchmarks.Single.Atan2,1.00,1.00,1.05,
System.MathBenchmarks.Single.Atanh,1.00,1.00,1.01,
System.MathBenchmarks.Single.Atan,1.00,1.00,1.01,
System.MathBenchmarks.Single.Cbrt,1.00,1.00,1.02,
System.MathBenchmarks.Single.Ceiling,1.00,1.00,1.00,
System.MathBenchmarks.Single.Cosh,1.00,1.00,1.06,
System.MathBenchmarks.Single.Cos,1.00,1.00,1.00,
System.MathBenchmarks.Single.Exp,1.00,1.00,0.96,
System.MathBenchmarks.Single.Floor,1.00,1.00,1.00,
System.MathBenchmarks.Single.FusedMultiplyAdd,1.00,1.00,1.00,
System.MathBenchmarks.Single.ILogB,1.00,1.00,1.02,
System.MathBenchmarks.Single.Log10,1.00,1.00,1.00,
System.MathBenchmarks.Single.Log2,1.00,1.00,1.09,
System.MathBenchmarks.Single.Log,1.00,1.00,1.01,
System.MathBenchmarks.Single.Pow,1.00,1.00,1.01,
System.MathBenchmarks.Single.Round,1.00,1.00,1.05,
System.MathBenchmarks.Single.ScaleB,1.00,1.00,1.00,
System.MathBenchmarks.Single.Sinh,1.00,1.00,0.99,
System.MathBenchmarks.Single.Sin,1.00,1.00,0.75,
System.MathBenchmarks.Single.Sqrt,1.00,1.00,0.98,
System.MathBenchmarks.Single.Tanh,1.00,1.00,0.98,
System.MathBenchmarks.Single.Tan,1.00,1.00,1.02,
System.Memory.Memory<Char>.Pin(Size: 512),1.00,1.00,1.08,
System.Memory.Memory<Char>.ToArray(Size: 512),1.00,1.00,0.99,
System.Reflection.Activator<EmptyClass>.CreateInstanceGeneric,1.00,1.00,0.96,
System.Reflection.Activator<EmptyClass>.CreateInstanceType,1.00,1.00,1.03,
System.Reflection.Activator<EmptyClass>.CreateInstanceNames,1.00,1.00,1.09,
Span.Sorting.QuickSortSpan(Size: 512),1.00,1.00,1.00,
Span.Sorting.BubbleSortSpan(Size: 512),1.00,1.00,1.01,
Span.Sorting.QuickSortArray(Size: 512),1.00,1.00,0.99,
Span.Sorting.BubbleSortArray(Size: 512),1.00,1.00,0.97,
System.Text.Json.Serialization.Tests.WritePreservedReferences<MyEventsListerViewModel>.SerializePres...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WritePreservedReferences<MyEventsListerViewModel>.NewtonsoftSer...,1.00,1.00,1.03,
System.Reflection.Attributes.GetCustomAttributesClassHitInherit,1.00,1.00,0.99,
System.Reflection.Attributes.GetCustomAttributesClassMissInherit,1.00,1.00,0.99,
System.Reflection.Attributes.GetCustomAttributesClassHit,1.00,1.00,1.03,
System.Reflection.Attributes.GetCustomAttributesClassMiss,1.00,1.00,1.03,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideHitInherit,1.00,1.00,1.05,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideMissInherit,1.00,1.00,1.00,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideHit,1.00,1.00,1.01,
System.Reflection.Attributes.GetCustomAttributesMethodOverrideMiss,1.00,1.00,0.96,
System.Reflection.Attributes.GetCustomAttributesMethodBaseHitInherit,1.00,1.00,1.03,
System.Reflection.Attributes.GetCustomAttributesMethodBaseMissInherit,1.00,1.00,0.98,
System.Reflection.Attributes.GetCustomAttributesMethodBaseHit,1.00,1.00,1.09,
System.Reflection.Attributes.GetCustomAttributesMethodBaseMiss,1.00,1.00,1.01,
System.Reflection.Attributes.IsDefinedClassHitInherit,1.00,1.00,0.96,
System.Reflection.Attributes.IsDefinedClassMissInherit,1.00,1.00,1.01,
System.Reflection.Attributes.IsDefinedClassHit,1.00,1.00,1.00,
System.Reflection.Attributes.IsDefinedClassMiss,1.00,1.00,1.05,
System.Reflection.Attributes.IsDefinedMethodOverrideHitInherit,1.00,1.00,1.01,
System.Reflection.Attributes.IsDefinedMethodOverrideMissInherit,1.00,1.00,1.07,
System.Reflection.Attributes.IsDefinedMethodOverrideHit,1.00,1.00,0.99,
System.Reflection.Attributes.IsDefinedMethodOverrideMiss,1.00,1.00,1.04,
System.Reflection.Attributes.IsDefinedMethodBaseHitInherit,1.00,1.00,1.07,
System.Reflection.Attributes.IsDefinedMethodBaseMissInherit,1.00,1.00,1.05,
System.Reflection.Attributes.IsDefinedMethodBaseHit,1.00,1.00,1.08,
System.Reflection.Attributes.IsDefinedMethodBaseMiss,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToString,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToUtf8Bytes,1.00,1.00,0.98,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeToStream,1.00,1.00,1.05,
System.Text.Json.Serialization.Tests.WriteJson<Location>.SerializeObjectProperty,1.00,1.00,1.04,
Benchstone.BenchF.Simpsn.Test,1.00,1.00,0.93,
System.Tests.Perf_String.Concat_CharEnumerable,1.00,1.00,1.03,
System.Tests.Perf_String.IndexOfAny,1.00,1.00,0.95,
System.Tests.Perf_String.Format_MultipleArgs,1.00,1.00,1.02,
